ppms,values
-2.8704316804365257,37.76171875
-2.8699426271277506,-37.421875
-2.8694535738189755,-197.39453125
-2.8689645205102003,-248.8515625
-2.868475467201425,-341.203125
-2.86798641389265,9.56640625
-2.867497360583875,-424.1015625
-2.8670083072751,-381.296875
-2.8665192539663247,-304.0234375
-2.8660302006575495,370.390625
-2.8655411473487744,-76.1171875
-2.8650520940399993,-410.36328125
-2.864563040731224,-49.66015625
-2.864073987422449,316.40234375
-2.863584934113674,-300.70703125
-2.8630958808048987,40.63671875
-2.8626068274961236,-99.734375
-2.8621177741873485,-454.04296875
-2.8616287208785733,113.109375
-2.861139667569798,-88.140625
-2.860650614261023,166.52734375
-2.860161560952248,-470.66796875
-2.859672507643473,96.6484375
-2.8591834543346977,-154.8515625
-2.8586944010259225,-309.23828125
-2.8582053477171474,-123.07421875
-2.8577162944083723,-214.4453125
-2.857227241099597,-131.26171875
-2.856738187790822,-297.15234375
-2.856249134482047,-101.97265625
-2.8557600811732717,319.45703125
-2.8552710278644966,-201.66015625
-2.8547819745557215,-106.171875
-2.8542929212469463,-17.6328125
-2.853803867938171,-31.046875
-2.853314814629396,-345.98046875
-2.852825761320621,19.72265625
-2.852336708011846,374.69921875
-2.8518476547030707,-295.6328125
-2.8513586013942955,235.32421875
-2.8508695480855204,-264.82421875
-2.8503804947767453,-89.87890625
-2.84989144146797,-292.48046875
-2.849402388159195,-155.265625
-2.84891333485042,-68.5625
-2.8484242815416447,102.28515625
-2.8479352282328696,-578.8125
-2.8474461749240945,-255.88671875
-2.8469571216153193,13.4453125
-2.846468068306544,78.65625
-2.845979014997769,-109.796875
-2.845489961688994,111.12109375
-2.845000908380219,-92.66015625
-2.8445118550714437,319.125
-2.8440228017626685,-266.765625
-2.8435337484538934,-172.75390625
-2.8430446951451183,-427.15234375
-2.842555641836343,1.54296875
-2.842066588527568,-308.3046875
-2.841577535218793,-284.3359375
-2.8410884819100177,61.96875
-2.8405994286012426,-88.38671875
-2.8401103752924675,-28.3515625
-2.8396213219836923,507.08203125
-2.839132268674917,-329.5
-2.838643215366142,-36.234375
-2.838154162057367,455.53125
-2.837665108748592,-482.75390625
-2.8371760554398167,-122.625
-2.8366870021310415,399.03125
-2.8361979488222664,76.984375
-2.8357088955134913,-398.15234375
-2.835219842204716,-507.25390625
-2.834730788895941,20.9609375
-2.834241735587166,273.11328125
-2.8337526822783907,-52.68359375
-2.8332636289696156,28.05078125
-2.8327745756608405,-475.484375
-2.8322855223520653,-422.859375
-2.83179646904329,14.3828125
-2.831307415734515,360.90234375
-2.83081836242574,-3.4921875
-2.830329309116965,35.96875
-2.8298402558081897,-441.34765625
-2.8293512024994145,-238.43359375
-2.8288621491906394,351.65234375
-2.8283730958818643,-271.33984375
-2.827884042573089,101.8203125
-2.827394989264314,308.63671875
-2.826905935955539,416.48046875
-2.8264168826467637,-317.46484375
-2.8259278293379886,36.95703125
-2.8254387760292135,-24.7265625
-2.8249497227204383,-4.28515625
-2.824460669411663,-6.90234375
-2.823971616102888,438.54296875
-2.823482562794113,63.73828125
-2.822993509485338,82.046875
-2.8225044561765626,-182.28515625
-2.8220154028677875,-148.16015625
-2.8215263495590124,-66.51171875
-2.8210372962502372,-198.98828125
-2.820548242941462,121.6484375
-2.820059189632687,-633.9375
-2.819570136323912,-200.58203125
-2.8190810830151367,-27.921875
-2.8185920297063616,-40.3203125
-2.8181029763975864,-285.9296875
-2.8176139230888113,-15.1171875
-2.817124869780036,-274.55078125
-2.816635816471261,32.390625
-2.816146763162486,-85.1875
-2.8156577098537108,-233.8515625
-2.8151686565449356,-308.7890625
-2.8146796032361605,-338.375
-2.8141905499273854,347.671875
-2.8137014966186102,-270.5
-2.813212443309835,-124.1328125
-2.81272339000106,-129.09375
-2.812234336692285,176.11328125
-2.8117452833835097,73.1953125
-2.8112562300747346,-344.8203125
-2.8107671767659594,-291.78125
-2.8102781234571843,-585.86328125
-2.809789070148409,97.8359375
-2.809300016839634,118.62109375
-2.808810963530859,944.515625
-2.8083219102220838,-274.1015625
